id,match_date,stage,group_name,home_team_id,away_team_id,venue_id,status,home_score,away_score
1,2026-06-11 19:00:00,group,A,1,3,1,completed,2,0
2,2026-06-12 02:00:00,group,A,2,4,15,completed,2,1
3,2026-06-18 16:00:00,group,A,4,3,9,scheduled,\N,\N
4,2026-06-19 01:00:00,group,A,1,2,15,scheduled,\N,\N
5,2026-06-25 01:00:00,group,A,4,1,1,scheduled,\N,\N
6,2026-06-25 01:00:00,group,A,3,2,14,scheduled,\N,\N
7,2026-06-12 19:00:00,group,B,5,8,16,completed,1,1
8,2026-06-13 19:00:00,group,B,7,6,6,scheduled,\N,\N
9,2026-06-18 19:00:00,group,B,6,8,4,scheduled,\N,\N
10,2026-06-18 22:00:00,group,B,5,7,13,scheduled,\N,\N
11,2026-06-24 19:00:00,group,B,6,5,13,scheduled,\N,\N
12,2026-06-24 19:00:00,group,B,8,7,10,scheduled,\N,\N
13,2026-06-13 22:00:00,group,C,9,10,2,scheduled,\N,\N
14,2026-06-14 01:00:00,group,C,12,11,12,scheduled,\N,\N
15,2026-06-19 22:00:00,group,C,11,10,12,scheduled,\N,\N
16,2026-06-20 01:00:00,group,C,9,12,8,scheduled,\N,\N
17,2026-06-24 22:00:00,group,C,11,9,11,scheduled,\N,\N
18,2026-06-24 22:00:00,group,C,10,12,9,scheduled,\N,\N
19,2026-06-13 01:00:00,group,D,13,14,4,scheduled,\N,\N
20,2026-06-13 04:00:00,group,D,16,15,13,scheduled,\N,\N
21,2026-06-19 19:00:00,group,D,13,16,10,scheduled,\N,\N
22,2026-06-20 04:00:00,group,D,15,14,6,scheduled,\N,\N
23,2026-06-26 02:00:00,group,D,15,13,4,scheduled,\N,\N
24,2026-06-26 02:00:00,group,D,14,16,6,scheduled,\N,\N
25,2026-06-14 17:00:00,group,E,17,20,7,scheduled,\N,\N
26,2026-06-14 23:00:00,group,E,19,18,8,scheduled,\N,\N
27,2026-06-20 20:00:00,group,E,17,19,16,scheduled,\N,\N
28,2026-06-21 00:00:00,group,E,18,20,5,scheduled,\N,\N
29,2026-06-25 20:00:00,group,E,18,17,2,scheduled,\N,\N
30,2026-06-25 20:00:00,group,E,20,19,8,scheduled,\N,\N
31,2026-06-14 20:00:00,group,F,21,22,3,scheduled,\N,\N
32,2026-06-15 02:00:00,group,F,24,23,14,scheduled,\N,\N
33,2026-06-20 17:00:00,group,F,21,24,7,scheduled,\N,\N
34,2026-06-20 04:00:00,group,F,23,22,14,scheduled,\N,\N
35,2026-06-25 23:00:00,group,F,22,24,3,scheduled,\N,\N
36,2026-06-25 23:00:00,group,F,23,21,5,scheduled,\N,\N
37,2026-06-15 19:00:00,group,G,25,27,10,scheduled,\N,\N
38,2026-06-16 01:00:00,group,G,26,28,4,scheduled,\N,\N
39,2026-06-21 19:00:00,group,G,25,26,4,scheduled,\N,\N
40,2026-06-22 01:00:00,group,G,28,27,13,scheduled,\N,\N
41,2026-06-27 03:00:00,group,G,27,26,10,scheduled,\N,\N
42,2026-06-27 03:00:00,group,G,28,25,13,scheduled,\N,\N
43,2026-06-15 16:00:00,group,H,29,32,9,scheduled,\N,\N
44,2026-06-15 22:00:00,group,H,31,30,11,scheduled,\N,\N
45,2026-06-21 16:00:00,group,H,29,31,9,scheduled,\N,\N
46,2026-06-21 22:00:00,group,H,30,32,11,scheduled,\N,\N
47,2026-06-27 00:00:00,group,H,32,31,7,scheduled,\N,\N
48,2026-06-27 00:00:00,group,H,30,29,15,scheduled,\N,\N
49,2026-06-16 19:00:00,group,I,33,34,2,scheduled,\N,\N
50,2026-06-16 22:00:00,group,I,36,35,12,scheduled,\N,\N
51,2026-06-22 21:00:00,group,I,33,36,8,scheduled,\N,\N
52,2026-06-23 00:00:00,group,I,35,34,2,scheduled,\N,\N
53,2026-06-26 19:00:00,group,I,35,33,12,scheduled,\N,\N
54,2026-06-26 19:00:00,group,I,34,36,16,scheduled,\N,\N
55,2026-06-17 01:00:00,group,J,37,39,5,scheduled,\N,\N
56,2026-06-16 04:00:00,group,J,38,40,6,scheduled,\N,\N
57,2026-06-22 17:00:00,group,J,37,38,3,scheduled,\N,\N
58,2026-06-23 03:00:00,group,J,40,39,6,scheduled,\N,\N
59,2026-06-28 02:00:00,group,J,39,38,5,scheduled,\N,\N
60,2026-06-28 02:00:00,group,J,40,37,3,scheduled,\N,\N
61,2026-06-17 17:00:00,group,K,41,44,7,scheduled,\N,\N
62,2026-06-18 02:00:00,group,K,43,42,1,scheduled,\N,\N
63,2026-06-23 17:00:00,group,K,41,43,7,scheduled,\N,\N
64,2026-06-24 02:00:00,group,K,42,44,15,scheduled,\N,\N
65,2026-06-27 23:30:00,group,K,42,41,11,scheduled,\N,\N
66,2026-06-27 23:30:00,group,K,44,43,9,scheduled,\N,\N
67,2026-06-17 20:00:00,group,L,45,46,3,scheduled,\N,\N
68,2026-06-17 23:00:00,group,L,48,47,16,scheduled,\N,\N
69,2026-06-23 20:00:00,group,L,45,48,12,scheduled,\N,\N
70,2026-06-23 23:00:00,group,L,47,46,16,scheduled,\N,\N
71,2026-06-27 21:00:00,group,L,47,45,2,scheduled,\N,\N
72,2026-06-27 21:00:00,group,L,46,48,8,scheduled,\N,\N
