id,name,city,country,capacity
1,Lusail Stadium,Lusail,Qatar,89000
2,Al Bayt Stadium,Al Khor,Qatar,60000
3,Al Janoub Stadium,Al Wakrah,Qatar,40000
4,Education City Stadium,Al Rayyan,Qatar,45350
5,Ahmad Bin Ali Stadium,Al Rayyan,Qatar,44740
6,Khalifa International Stadium,Doha,Qatar,45416
7,Al Thumama Stadium,Doha,Qatar,40000
8,Stadium 974,Doha,Qatar,40000
